date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19680806,0000,,TD,11.8N,96.8W,25,-999
19680806,0600,,TD,12.3N,98.0W,25,-999
19680806,1200,,TD,12.7N,99.3W,25,-999
19680806,1800,,TD,13.0N,100.6W,25,-999
19680807,0000,,TD,13.4N,101.8W,25,-999
19680807,0600,,TD,13.9N,103.0W,25,-999
19680807,1200,,TD,14.5N,104.1W,25,-999
19680807,1800,,TD,15.5N,105.8W,25,-999
19680808,0000,,TS,16.5N,107.4W,45,-999
19680808,0600,,TS,17.1N,109.3W,45,-999
19680808,1200,,TS,17.7N,111.1W,45,-999
19680808,1800,,TD,18.5N,112.5W,25,-999
19680809,0000,,TD,19.3N,113.9W,25,-999
19680809,0600,,TD,19.8N,114.8W,25,-999
19680809,1200,,TD,20.3N,115.7W,25,-999
