date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19680723,1200,,TD,11.0N,101.0W,25,-999
19680723,1800,,TD,11.1N,101.5W,25,-999
19680724,0000,,TD,11.2N,102.1W,25,-999
19680724,0600,,TD,11.3N,102.9W,25,-999
19680724,1200,,TS,11.4N,103.9W,45,-999
19680724,1800,,TS,11.5N,105.4W,45,-999
19680725,0000,,TS,11.6N,107.0W,45,-999
19680725,0600,,TS,11.7N,108.1W,45,-999
19680725,1200,,TS,11.7N,109.2W,45,-999
19680725,1800,,TD,11.8N,110.3W,25,-999
19680726,0000,,TD,12.0N,111.4W,25,-999
19680726,0600,,TD,11.5N,112.2W,25,-999
19680726,1200,,TD,11.1N,113.0W,25,-999
19680726,1800,,TD,11.4N,114.6W,25,-999
19680727,0000,,TD,11.8N,116.3W,25,-999
19680727,0600,,TD,12.1N,117.8W,25,-999
19680727,1200,,TD,12.5N,119.3W,25,-999
19680727,1800,,TD,12.9N,121.1W,25,-999
19680728,0000,,TD,13.4N,122.8W,25,-999
19680728,0600,,TD,14.2N,125.1W,25,-999
19680728,1200,,TD,14.9N,127.4W,25,-999
19680728,1800,,TD,15.3N,128.8W,25,-999
19680729,0000,,TD,15.4N,130.3W,25,-999
19680729,0600,,TD,15.3N,130.8W,25,-999
19680729,1200,,TD,15.2N,131.3W,25,-999
19680729,1800,,TD,15.1N,131.9W,25,-999
19680730,0000,,TD,15.0N,132.5W,25,-999
19680730,0600,,TD,14.9N,133.3W,25,-999
19680730,1200,,TD,14.8N,134.1W,25,-999
19680730,1800,,TD,14.8N,135.4W,25,-999
19680731,0000,,TD,14.9N,136.7W,25,-999
19680731,0600,,TD,15.0N,138.1W,25,-999
19680731,1200,,TD,15.0N,139.6W,25,-999
