date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19680817,0000,,TD,17.3N,107.9W,25,-999
19680817,0600,,TD,18.6N,108.0W,25,-999
19680817,1200,,TD,19.8N,108.2W,25,-999
19680817,1800,,TS,20.5N,108.5W,45,-999
19680818,0000,,TS,21.3N,108.8W,45,-999
19680818,0600,,TS,22.0N,108.8W,45,-999
19680818,1200,,TS,22.7N,108.9W,45,-999
19680818,1800,,TS,23.5N,109.1W,45,-999
19680819,0000,,TS,24.4N,109.3W,45,-999
19680819,0600,,TS,25.1N,109.4W,45,-999
19680819,1200,,TS,25.9N,109.6W,45,-999
19680819,1800,,TD,26.9N,109.8W,25,-999
19680820,0000,,TD,27.9N,109.9W,25,-999
19680820,0600,,TD,28.9N,110.0W,25,-999
19680820,1200,,TD,30.0N,110.0W,25,-999
19680820,1800,,TD,30.7N,110.0W,25,-999
19680821,0000,,TD,31.4N,110.1W,25,-999
19680821,0600,,TD,31.7N,110.2W,25,-999
19680821,1200,,TD,32.0N,110.3W,25,-999
