date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19660816,1200,,TS,14.0N,103.1W,45,-999
19660816,1800,,TS,13.9N,104.7W,45,-999
19660817,0000,,TS,13.9N,106.4W,45,-999
19660817,0600,,TS,14.0N,107.2W,45,-999
19660817,1200,,TS,14.1N,108.0W,45,-999
19660817,1800,,TS,14.3N,108.6W,45,-999
19660818,0000,,TS,14.5N,109.2W,45,-999
19660818,0600,,TS,14.8N,110.2W,45,-999
19660818,1200,,TS,15.1N,111.3W,45,-999
19660818,1800,,HU,15.6N,112.3W,75,-999
19660819,0000,,HU,16.3N,113.3W,75,-999
19660819,0600,,HU,17.5N,114.5W,75,-999
19660819,1200,,HU,18.7N,115.8W,75,-999
19660819,1800,,TS,19.7N,117.4W,45,-999
19660820,0000,,TS,20.4N,119.2W,45,-999
19660820,0600,,TS,20.7N,120.4W,45,-999
19660820,1200,,TS,21.0N,121.6W,45,-999
19660820,1800,,TS,21.5N,123.0W,45,-999
19660821,0000,,TS,22.0N,124.3W,45,-999
19660821,0600,,TS,22.3N,125.2W,45,-999
19660821,1200,,TS,22.6N,126.1W,45,-999
19660821,1800,,TS,22.8N,126.7W,45,-999
19660822,0000,,TS,23.0N,127.3W,45,-999
19660822,0600,,TS,23.4N,128.5W,45,-999
19660822,1200,,TS,23.8N,129.7W,45,-999
19660822,1800,,TS,24.5N,131.4W,45,-999
19660823,0000,,TS,25.0N,133.0W,45,-999
19660823,0600,,TS,25.1N,133.7W,45,-999
19660823,1200,,TS,25.2N,134.4W,45,-999
19660823,1800,,TS,25.3N,134.7W,45,-999
19660824,0000,,TS,25.3N,135.0W,45,-999
19660824,0600,,TS,25.3N,135.2W,45,-999
19660824,1200,,TS,25.4N,135.3W,45,-999
19660824,1800,,TS,25.7N,135.3W,45,-999
19660825,0000,,TD,26.0N,135.3W,25,-999
19660825,0600,,TD,25.9N,136.2W,25,-999
19660825,1200,,TD,25.9N,137.3W,25,-999
19660825,1800,,TD,25.9N,138.4W,25,-999
