date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19621001,0000,,HU,13.9N,104.0W,75,-999
19621001,0600,,HU,14.0N,104.6W,75,-999
19621001,1200,,HU,14.3N,105.2W,75,-999
19621001,1800,,HU,14.7N,105.7W,75,-999
19621002,0000,,HU,15.1N,106.1W,75,-999
19621002,0600,,HU,15.6N,106.5W,75,-999
19621002,1200,,HU,16.1N,106.8W,75,-999
19621002,1800,,HU,16.8N,106.9W,75,-999
19621003,0000,,HU,17.5N,107.0W,75,-999
19621003,0600,,HU,18.4N,107.1W,75,-999
19621003,1200,,HU,19.2N,107.3W,75,-999
19621003,1800,,HU,20.2N,108.0W,75,-999
19621004,0000,,HU,21.1N,109.0W,75,-999
19621004,0600,,HU,22.8N,109.3W,75,-999
19621004,1200,,HU,24.6N,108.8W,75,-999
19621004,1800,,TS,26.5N,107.6W,45,-999
19621005,0000,,TD,28.0N,106.0W,25,-999
