date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19630909,0000,,TS,12.5N,96.5W,45,-999
19630909,0600,,TS,12.7N,97.6W,45,-999
19630909,1200,,TS,13.0N,98.6W,45,-999
19630909,1800,,TS,13.5N,99.5W,45,-999
19630910,0000,,TS,13.8N,100.5W,45,-999
19630910,0600,,TS,13.8N,101.6W,45,-999
19630910,1200,,TS,13.9N,102.7W,45,-999
19630910,1800,,TS,13.9N,103.9W,45,-999
19630911,0000,,TS,14.0N,105.0W,45,-999
19630911,0600,,TS,14.3N,106.0W,45,-999
19630911,1200,,TS,14.7N,107.0W,45,-999
19630911,1800,,TS,15.0N,107.7W,45,-999
19630912,0000,,TS,15.3N,108.6W,45,-999
19630912,0600,,TS,15.9N,109.8W,45,-999
19630912,1200,,TS,16.6N,111.1W,45,-999
19630912,1800,,TS,17.1N,112.3W,45,-999
19630913,0000,,TS,17.6N,113.5W,45,-999
19630913,0600,,TS,17.9N,114.5W,45,-999
19630913,1200,,TS,18.0N,115.3W,45,-999
19630913,1800,,TS,18.0N,115.9W,45,-999
19630914,0000,,TS,17.8N,116.5W,45,-999
19630914,0600,,TS,17.4N,117.1W,45,-999
19630914,1200,,TS,16.9N,117.7W,45,-999
19630914,1800,,TS,16.5N,118.2W,45,-999
19630915,0000,,TS,16.1N,118.7W,45,-999
19630915,0600,,TS,16.0N,119.2W,45,-999
19630915,1200,,TS,16.3N,119.7W,45,-999
19630915,1800,,TS,16.8N,120.1W,45,-999
19630916,0000,,TS,17.8N,120.4W,45,-999
19630916,0600,,TS,19.4N,120.7W,45,-999
19630916,1200,,TS,21.0N,121.1W,45,-999
19630916,1800,,TS,22.5N,120.9W,45,-999
19630917,0000,,TS,24.0N,120.3W,45,-999
19630917,0600,,TS,25.5N,120.0W,45,-999
19630917,1200,,TS,27.0N,119.8W,45,-999
19630917,1800,,TS,28.5N,118.2W,45,-999
19630918,0000,,TS,30.0N,116.4W,45,-999
19630918,0600,,TD,31.4N,116.2W,25,-999
19630918,1200,,TD,32.7N,117.2W,25,-999
