date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb
19520612,1200,,TS,14.6N,99.3W,45,-999
19520612,1800,,TS,14.8N,100.0W,45,-999
19520613,0000,,TS,15.1N,100.7W,45,-999
19520613,0600,,TS,15.6N,101.3W,45,-999
19520613,1200,,TS,16.1N,101.9W,45,-999
19520613,1800,,TS,16.3N,102.7W,45,-999
19520614,0000,,TS,16.5N,103.6W,45,-999
19520614,0600,,TS,16.8N,104.2W,45,-999
19520614,1200,,TS,17.1N,104.8W,45,-999
19520614,1800,,TS,17.3N,105.7W,45,-999
19520615,0000,,TS,17.4N,106.6W,45,-999
19520615,0600,,TS,17.5N,107.3W,45,-999
19520615,1200,,TS,17.7N,107.7W,45,-999
19520615,1800,,TS,18.0N,107.9W,45,-999
19520616,0000,,TS,18.3N,108.0W,45,-999
19520616,0600,,TS,18.6N,108.0W,45,-999
19520616,1200,,TS,19.0N,108.0W,45,-999
